customer_state,order_year,order_month,order_day,payment_value
AL,2018,7,17,767.19
AL,2018,7,19,97.26
AL,2018,7,20,237.43
AL,2018,7,21,289.17
AL,2018,7,26,776.8
AL,2018,7,31,665.44
AL,2018,8,1,87.07
AL,2018,8,2,122.23
AL,2018,8,3,256.87
AL,2018,8,5,152.95
AL,2018,8,7,217.86
AL,2018,8,8,236.17
AL,2018,8,9,729.2900000000001
AL,2018,8,10,420.29
AL,2018,8,11,58.19
AL,2018,8,12,221.88
AL,2018,8,15,410.91
AM,2017,2,2,370.29
AM,2017,2,4,135.16
AM,2017,2,6,339.20000000000005
AM,2017,2,8,44.25
AM,2017,2,17,179.3
AM,2017,2,18,54.34
AM,2017,3,10,222.86
AM,2017,3,12,177.21
AM,2017,3,13,185.51
AM,2017,3,24,126.86
AM,2017,3,30,80.95
AM,2017,4,1,101.71
AM,2017,4,3,177.5
AM,2017,4,9,142.27
AM,2017,4,16,83.31
AM,2017,4,18,114.11
AM,2017,4,20,194.99
AM,2017,4,24,84.81
AM,2017,4,25,165.36
AM,2017,4,26,38.33
AM,2017,4,30,73.84
AM,2017,5,3,187.91
AM,2017,5,8,196.12
AM,2017,5,11,159.32
AM,2017,5,15,236.56
AM,2017,5,25,72.39
AM,2017,5,27,29.65
AM,2017,5,29,207.09
AM,2017,5,31,155.45
AM,2017,6,25,204.84
AM,2017,7,1,83.14
AM,2017,7,6,447.09
AM,2017,7,17,84.81
AM,2017,7,20,124.33
AM,2017,7,29,212.03
AM,2017,8,11,281.82
AM,2017,8,13,190.22
AM,2017,8,20,93.21
AM,2017,8,21,313.4
AM,2017,8,24,604.76
AM,2017,9,11,184.29
AM,2017,9,12,58.67
AM,2017,9,15,109.4
AM,2017,9,20,857.37
AM,2017,9,23,50.05
AM,2017,9,25,95.51
AM,2017,9,26,163.15
AM,2017,10,2,54.14
AM,2017,10,19,65.14
AM,2017,10,23,45.28
AM,2017,11,5,46.05
AM,2017,11,9,1384.74
AM,2017,11,12,325.47
AM,2017,11,15,55.28
